100-HOLE GOLF MARATHON FOUNDATION INC,EIN: 45-5613923Classification            (NTEE)                        Public Foundations              (Philanthropy, Voluntarism and Grantmaking Foundations)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1000 ISLANDS CHARITY POKER RUN CORP,EIN: 82-0648835Classification            (NTEE)                        Fund Raising and/or Fund Distribution              (Recreation, Sports, Leisure, Athletics)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
100SUITSFOR100MEN,EIN: 46-2971279Classification            (NTEE)                        Alliance/Advocacy Organizations              (Employment, Job-Related)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
101-105 SOUTH EIGHTH STREET APTS HOUSING DEVELOPMENT FUND CORP,EIN: 26-2418821Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1026 FOUNDATION CORPORATION,EIN: 82-3378707Classification            (NTEE)                        Minority Rights              (Civil Rights, Social Action, Advocacy)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1049 MANAGEMENT CORPORATION,EIN: 11-2170742Classification            (NTEE)                        Real Estate Organizations              (Community Improvement, Capacity Building)            Nonprofit Tax Code Designation: 501(c)(2)            Defined as: Corporations created to hold titles for property owned by another nonprofit.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1051 COLLEGE AVENUE HOUSING DEVELOPMENT FUND CORP,EIN: 13-3998583Classification            (NTEE)                        Housing Development, Construction, Management              (Housing, Shelter)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
109TH PRECINCT COMMUNITY COUNCIL,EIN: 11-2417336Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
10K BATAY YISROEL INC,EIN: 83-4319211Classification            (NTEE)                        Personal Social Services              (Human Services — Multipurpose and Other)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
10X10 PHOTOBOOKS INC,EIN: 47-5183771Classification            (NTEE)                        Arts, Cultural Organizations - Multipurpose              (Arts, Culture and Humanities)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
11-13 E 26 ST HOLDING CORP,EIN: 13-3732468Nonprofit Tax Code Designation: 501(c)(2)            Defined as: Corporations created to hold titles for property owned by another nonprofit.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
110 TRANSPORTATION MANAGEMENT ASSOCIATION CORP,EIN: 11-3075152Classification            (NTEE)                        Community Improvement, Capacity Building N.E.C.Nonprofit Tax Code Designation: 501(c)(6)            Defined as: Business leagues, chambers of commerce, real estate boards, etc, created for the improvement of business conditions.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1106 COLLEGE AVENUE H D F C,EIN: 75-3100052Classification            (NTEE)                        Housing Development, Construction, Management              (Housing, Shelter)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1114 WARD AVENUE TENANTS ASSOCIATION,EIN: 83-2867482Classification            (NTEE)                        Neighborhood, Block Associations              (Community Improvement, Capacity Building)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
116TH STREET BLOCK ASSOCIATION INC,EIN: 13-3031100Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1185 PARK FOUNDATION INC,EIN: 13-3997444Classification            (NTEE)                        Unknown / UnclassifiedNonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1199 NATIONAL BENEFIT FUND FOR HOSPITAL & HUMAN SERVICE EMPLOYEES,EIN: 13-1628401Classification            (NTEE)                        Voluntary Employees Beneficiary Associations (Non-Government)              (Mutual/Membership Benefit Organizations, Other)            Nonprofit Tax Code Designation: 501(c)(9)            Defined as: Voluntary employees beneficiary associations, which provide payment of life, sickness, accident or other benefits to members.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
11TH HOUR CHRISTIAN INITIATIVES INC,EIN: 26-3870492Classification            (NTEE)                        Professional Societies, Associations              (Religion-Related, Spiritual Development)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
12 CLUB,EIN: 51-0177147Nonprofit Tax Code Designation: 501(c)(9)            Defined as: Voluntary employees beneficiary associations, which provide payment of life, sickness, accident or other benefits to members.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
12 DUFFIELD GLEN SEATOR FOUNDATION,EIN: 65-1221000Classification            (NTEE)                        Arts Education              (Arts, Culture and Humanities)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1205 BUILDING CORP,EIN: 11-1964088Nonprofit Tax Code Designation: 501(c)(2)            Defined as: Corporations created to hold titles for property owned by another nonprofit.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
15 FOUNDATION INC,EIN: 27-2028351            This organization is not listed in the IRS's most recent list of tax exempt organizations, but we have data associated with this Employer Identification Number. We have reconstructed basic information about the organization (like its name and tax code designation) from              an old list of exempt organiations.             However, this information may be out of date. It's even possible that the organization no longer has tax exempt status or no longer exists.          Classification            (NTEE)                        Public Foundations              (Philanthropy, Voluntarism and Grantmaking Foundations)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1816 FARMINGTON QUAKER MEETINGHOUSE MUSEUM,EIN: 27-0586244Classification            (NTEE)                        History Museums              (Arts, Culture and Humanities)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1854 CEDAR AVENUE HOUSING DEVELOPMENT FUND CORPORATION,EIN: 26-3788059Classification            (NTEE)                        Public Housing Facilities              (Housing, Shelter)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1886 COMMUNITY EMERGENCY FOOD PANTRY,EIN: 45-2100831            This organization is not listed in the IRS's most recent list of tax exempt organizations, but we have data associated with this Employer Identification Number. We have reconstructed basic information about the organization (like its name and tax code designation) from              archival data provided by the National Center for Charitable Statistics Data Archive. However, this information may be out of date. It's even possible that the organization no longer has tax exempt status or no longer exists.          Classification            (NTEE)                        Food Banks, Food Pantries              (Food, Agriculture and Nutrition)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          More Resources:GuideStarGet notifications: Sign up for updates about our data.
1890 ANDREWS AVENUE HOUSING DEVELOPMENT FUND CORPORATION,EIN: 47-4223500Classification            (NTEE)                        Housing Development, Construction, Management              (Housing, Shelter)            Nonprofit Tax Code Designation: 501(c)(4)            Defined as: Civic leagues, social welfare organizations and local associations of employees,  created to promote community welfare for charitable, educational or recreational purposes.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1940 USG ACQUISITION CORPORATION,EIN: 26-0350520            This organization is not listed in the IRS's most recent list of tax exempt organizations, but we have data associated with this Employer Identification Number. We have reconstructed basic information about the organization (like its name and tax code designation) from              archival data provided by the National Center for Charitable Statistics Data Archive. However, this information may be out of date. It's even possible that the organization no longer has tax exempt status or no longer exists.          Classification            (NTEE)                        Real Estate Organizations              (Community Improvement, Capacity Building)            Nonprofit Tax Code Designation: 501(c)(25)            Defined as: Title holding corporations or trusts with multiple parent corporations, which holds titles and paying over income from property to 35 or fewer parents or beneficiaries.          More Resources:GuideStarGet notifications: Sign up for updates about our data.
1991 BATHGATE AVENUE HOUSING DEVELOPMENT FUND CORPORATION,EIN: 13-3859362            This organization is not listed in the IRS's most recent list of tax exempt organizations, but we have data associated with this Employer Identification Number. We have reconstructed basic information about the organization (like its name and tax code designation) from              archival data provided by the National Center for Charitable Statistics Data Archive. However, this information may be out of date. It's even possible that the organization no longer has tax exempt status or no longer exists.          Classification            (NTEE)                        Housing Development, Construction, Management              (Housing, Shelter)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          More Resources:GuideStarGet notifications: Sign up for updates about our data.
19TH WARD COMMUNITY ASSOCIATION OF ROCHESTER NEW YORK INC,EIN: 16-6068379Classification            (NTEE)                        Neighborhood, Block Associations              (Community Improvement, Capacity Building)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1FACE2FACE INC,EIN: 84-2094774Classification            (NTEE)                        Human Services - Multipurpose and Other N.E.C.Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1K CLEATS 4 KIDS INC,EIN: 81-5069826Classification            (NTEE)                        Philanthropy, Charity, Voluntarism Promotion, General              (Philanthropy, Voluntarism and Grantmaking Foundations)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1ST LT LOUIS ALLEN SCHOLARSHIP & COMMUNITY FOUNDATION,EIN: 26-2332792Classification            (NTEE)                        Scholarships, Student Financial Aid Services, Awards              (Educational Institutions and Related Activities)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
1ST MARINE DIVISION ASSOCIATION INC NEW YORK CHAPTER,EIN: 13-3322410Classification            (NTEE)                        Military, Veterans' Organizations              (Public, Society Benefit — Multipurpose and Other)            Nonprofit Tax Code Designation: 501(c)(19)            Defined as: Post or organization of past or present members of the armed forces.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
20 20 VISION FOR SCHOOLS INC,EIN: 45-3023036Classification            (NTEE)                        Nonmonetary Support N.E.C.              (Educational Institutions and Related Activities)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
2000 SPAYS AND NEUTERS FOUNDATION,EIN: 13-4127975Classification            (NTEE)                        Youth Centers, Clubs, Multipurpose              (Youth Development)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
204TH AND 205TH STREET BLOCK ASSOCIATION,EIN: 84-2804298Classification            (NTEE)                        Neighborhood, Block Associations              (Community Improvement, Capacity Building)            Nonprofit Tax Code Designation: 501(c)(4)            Defined as: Civic leagues, social welfare organizations and local associations of employees,  created to promote community welfare for charitable, educational or recreational purposes.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
2164 INC,EIN: 46-4671557Classification            (NTEE)                        Youth Development N.E.C.Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ABUNDANT LIFE TRANSFORMATION SEVENTH DAY SANCTIFIED CHURCH INC,EIN: 47-1175583Classification            (NTEE)                        Christian              (Religion-Related, Spiritual Development)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ABUNDANT LOVE APOSTOLIC CHURCH INC,EIN: 13-3753156Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ABUNDANT WATERS INC,EIN: 13-3706659Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
AC & JC FOUNDATION,EIN: 84-2735202Classification            (NTEE)                        Human Service Organizations - Multipurpose              (Human Services — Multipurpose and Other)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
AC CARES FOUNDATION INC,EIN: 83-1154773Classification            (NTEE)                        Human Service Organizations - Multipurpose              (Human Services — Multipurpose and Other)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACACIA CHARITIES INC,EIN: 51-0444309Classification            (NTEE)                        Public Foundations              (Philanthropy, Voluntarism and Grantmaking Foundations)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACACIA FRATERNITY INCORPORATED,EIN: 16-6049610Classification            (NTEE)                        Student Sororities, Fraternities              (Educational Institutions and Related Activities)            Nonprofit Tax Code Designation: 501(c)(7)            Defined as: Social and recreational clubs.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACACIA NETWORK INC,EIN: 13-4014082Classification            (NTEE)                        Health - General and Rehabilitative N.E.C.Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACACIA REAL ESTATE DEVELOPMENT INC,EIN: 82-3595330Classification            (NTEE)                        Housing Development, Construction, Management              (Housing, Shelter)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACADEMIC BOARD OF TRUSTEES OF FRANKLIN ACADEMY,EIN: 14-1539746Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACADEMY FOR TEACHERS,EIN: 45-4681404Classification            (NTEE)                        Education N.E.C.Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          Donations to this organization are tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACADEMY GREEN RESIDENCES INC,EIN: 14-1637543            This organization is not listed in the IRS's most recent list of tax exempt organizations, but we have data associated with this Employer Identification Number. We have reconstructed basic information about the organization (like its name and tax code designation) from              archival data provided by the National Center for Charitable Statistics Data Archive. However, this information may be out of date. It's even possible that the organization no longer has tax exempt status or no longer exists.          Classification            (NTEE)                        Group Home (Long Term)              (Human Services — Multipurpose and Other)            Nonprofit Tax Code Designation: 501(c)(3)            Defined as: Organizations for any of the following purposes: religious, educational, charitable, scientific, literary, testing for public safety, fostering national or international amateur sports competition (as long as it doesn’t provide athletic facilities or equipment), or the prevention of cruelty to children or animals.          More Resources:GuideStarGet notifications: Sign up for updates about our data.
ACADEMY OF CERTIFIED ARCHIVISTS,EIN: 31-1284827Nonprofit Tax Code Designation: 501(c)(6)            Defined as: Business leagues, chambers of commerce, real estate boards, etc, created for the improvement of business conditions.          Donations to this organization are not tax deductible.More Resources:GuideStarGet notifications: Sign up for updates about our data.
